日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-05-28,22.75,-2.44,-43090060.0,-11.48,-41510057.0,-11.06,-1580003.0,-0.42,10274388.0,2.74,32815671.0,8.74
2026-05-29,23.25,2.2,45937574.0,7.56,19696587.0,3.24,26240987.0,4.32,-13996169.0,-2.3,-31941404.0,-5.26
2026-06-01,22.99,-1.12,-60561209.0,-10.41,-21266064.0,-3.65,-39295145.0,-6.75,3343571.0,0.57,57217639.0,9.83
2026-06-02,22.72,-1.17,-12218492.0,-2.86,-3119941.0,-0.73,-9098551.0,-2.13,-33297308.0,-7.8,45515799.0,10.66
2026-06-03,22.18,-2.38,-49408479.0,-9.01,-43518598.0,-7.93,-5889881.0,-1.07,-32665329.0,-5.95,82073808.0,14.96
2026-06-04,21.82,-1.62,-53257401.0,-13.23,-8317600.0,-2.07,-44939801.0,-11.16,-11816354.0,-2.93,65073755.0,16.16
2026-06-05,22.02,0.92,422989.0,0.12,-7337098.0,-2.02,7760087.0,2.14,-17901900.0,-4.94,17478910.0,4.82
2026-06-08,21.65,-1.68,-34063710.0,-9.71,-15515492.0,-4.42,-18548218.0,-5.29,5236057.0,1.49,28827653.0,8.22
2026-06-09,21.83,0.83,-3960898.0,-1.59,-4553118.0,-1.82,592220.0,0.24,121593.0,0.05,3839305.0,1.54
2026-06-10,22.11,1.28,8484236.0,2.51,-1716057.0,-0.51,10200293.0,3.01,-6482279.0,-1.92,-2001958.0,-0.59
2026-06-11,21.78,-1.49,-17838367.0,-5.17,-1337625.0,-0.39,-16500742.0,-4.78,886440.0,0.26,16951926.0,4.91
2026-06-12,22.36,2.66,13681973.0,3.18,8889261.0,2.07,4792712.0,1.12,7064124.0,1.64,-20746097.0,-4.83
2026-06-15,22.31,-0.22,2782399.0,0.74,4789368.0,1.28,-2006969.0,-0.54,4719791.0,1.26,-7502190.0,-2.0
2026-06-16,21.85,-2.06,-32643496.0,-8.87,-33314850.0,-9.05,671354.0,0.18,10578088.0,2.87,22065409.0,5.99
2026-06-17,21.58,-1.24,-49454261.0,-12.48,-31891111.0,-8.05,-17563150.0,-4.43,7643288.0,1.93,41810974.0,10.55
2026-06-18,21.79,0.97,-14779514.0,-3.35,-19754622.0,-4.47,4975108.0,1.13,-14978329.0,-3.39,29757843.0,6.74
2026-06-22,22.06,1.24,-35517097.0,-6.92,-34052130.0,-6.63,-1464967.0,-0.29,17697442.0,3.45,17819655.0,3.47
2026-06-23,22.26,0.91,4168945.0,0.58,10481734.0,1.47,-6312789.0,-0.88,5899050.0,0.83,-10067996.0,-1.41
2026-06-24,22.5,1.08,63251286.0,8.38,40601571.0,5.38,22649715.0,3.0,3751885.0,0.5,-67003176.0,-8.88
2026-06-25,22.18,-1.42,-19724394.0,-3.11,-11742291.0,-1.85,-7982103.0,-1.26,22034761.0,3.47,-2310368.0,-0.36
2026-06-26,21.21,-4.37,-47636380.0,-8.35,-29810312.0,-5.23,-17826068.0,-3.13,-3416086.0,-0.6,51052466.0,8.95
2026-06-29,22.73,7.17,-2574327.0,-0.23,20039871.0,1.76,-22614198.0,-1.98,-24428784.0,-2.14,27003104.0,2.37
2026-06-30,22.47,-1.14,29241162.0,3.78,-2005397.0,-0.26,31246559.0,4.04,-276082.0,-0.04,-28965075.0,-3.75
2026-07-01,23.12,2.89,68295123.0,6.67,38924097.0,3.8,29371026.0,2.87,21546528.0,2.1,-89841648.0,-8.77
2026-07-02,23.03,-0.39,2819850.0,0.32,8670462.0,0.98,-5850612.0,-0.66,15386848.0,1.74,-18206695.0,-2.05
2026-07-03,23.29,1.13,2060105.0,0.3,-8931111.0,-1.29,10991216.0,1.59,-2350609.0,-0.34,290503.0,0.04
2026-07-06,24.08,3.39,89477496.0,7.04,67708248.0,5.33,21769248.0,1.71,-30970128.0,-2.44,-58507392.0,-4.6
2026-07-07,23.19,-3.7,-38454272.0,-4.75,-16653478.0,-2.06,-21800794.0,-2.69,-2368640.0,-0.29,40822906.0,5.04
